census_block_group,1,2,3,4,5,6,7,total_pop
510594820011,84,192,61,56,19,0,0,1009
510594820012,79,339,186,237,115,0,0,2960
510594820013,44,113,86,56,24,0,0,918
510594820021,239,343,75,88,35,0,0,1713
510594820022,485,318,108,18,9,11,0,1660
510594821001,235,151,103,45,89,0,7,1592
510594821002,251,412,185,67,21,7,0,2151
510594822011,226,340,162,101,31,38,6,2371
510594822021,198,92,27,0,0,0,0,474
510594822022,119,112,89,25,0,0,0,735
510594822023,352,173,16,0,0,0,0,755
510594822024,207,252,91,16,17,20,0,1294
510594822031,256,149,46,0,0,0,0,899
510594822032,165,135,52,0,0,0,0,604
510594822033,413,214,50,0,0,0,0,999
510594822034,370,345,72,43,0,20,0,1609
510594823011,487,331,206,43,44,0,0,2270
510594823012,314,398,176,153,0,0,0,2351
510594823021,192,322,99,60,33,7,0,1677
510594823022,233,246,173,201,63,19,0,2688
510594823031,240,184,88,92,0,0,0,1290
510594823032,77,211,72,25,0,0,0,860
510594823033,301,287,77,69,29,0,0,1587
510594824001,86,280,161,154,65,20,7,2292
510594825011,92,129,86,40,30,0,0,941
510594825012,331,253,71,47,44,24,0,1680
510594825013,327,270,264,209,181,0,12,3688
510594825014,54,76,36,223,129,0,0,2085
510594825015,62,223,54,0,15,0,0,799
510594825021,27,78,45,97,11,11,0,861
510594825022,83,258,129,202,55,12,18,2381
510594825031,65,133,114,139,48,25,0,1684
510594825032,12,94,50,119,0,17,0,978
510594825033,135,149,180,181,96,0,0,2257
510594825041,59,222,107,201,87,10,0,2182
510594825042,20,172,186,105,58,5,15,1865
510594825043,38,115,145,77,22,0,7,1235
510594826011,94,207,120,72,69,15,0,1664
510594826012,160,210,307,292,91,0,13,3425
510594826013,94,128,177,184,34,0,13,2014
510594826021,29,178,223,237,13,63,0,2608
510594826022,25,86,167,190,31,28,0,1838
510594826023,198,171,139,107,11,0,0,1480
510594826024,110,218,99,64,37,9,0,1379
510594901011,41,107,94,77,49,39,9,1472
510594901012,323,190,133,113,27,0,0,1794
510594901013,106,179,225,103,62,0,12,2067
510594901031,73,115,164,99,26,27,10,1634
510594901032,105,138,61,94,0,52,26,1595
510594901033,49,135,68,88,43,32,5,1430
510594901034,47,108,75,90,32,20,13,1314
510594905011,288,175,84,52,0,0,0,1167
510594905012,84,135,134,132,57,23,0,1809
510594905021,39,212,255,82,53,57,4,2362
510594905022,35,133,57,58,27,22,33,1244
510594905023,183,267,161,146,114,5,0,2606
510594910001,65,181,105,134,62,43,7,1961
510594911011,59,240,117,135,36,23,8,1869
510594911012,21,173,138,167,33,33,0,1909
510594911021,65,194,88,108,40,8,11,1525
510594911022,76,158,166,127,32,20,0,1765
510594911031,115,75,191,139,55,7,3,1831
510594911032,183,206,129,114,24,53,0,1989
510594911033,66,68,173,123,9,15,11,1493
510594911034,54,77,121,73,0,7,0,989
510594912011,105,70,67,65,0,0,17,886
510594912012,106,180,100,212,38,73,0,2326
510594912013,298,303,189,47,90,0,0,2188
510594912014,51,224,28,25,0,0,0,690
510594912021,283,321,68,79,9,0,3,1613
510594913011,95,75,157,26,21,0,0,934
510594913012,31,63,199,168,79,22,0,2075
510594913013,18,107,47,146,65,7,16,1501
510594913014,106,223,116,214,74,39,28,2809
510594913021,438,276,181,116,36,0,0,2274
510594913022,7,90,55,123,37,21,13,1278
510594913031,60,32,98,84,49,43,0,1368
510594913032,455,292,192,159,111,10,9,3168
510594914011,114,150,165,155,55,34,0,2093
510594914012,116,150,101,59,28,13,7,1300
510594914013,120,172,81,61,0,0,0,979
510594914014,114,118,38,0,0,0,0,486
510594914021,127,179,172,152,92,75,43,3015
510594914022,68,136,166,106,71,3,16,1807
510594914031,30,291,140,196,60,8,0,2258
510594914032,27,144,113,82,27,33,8,1463
510594914041,116,168,86,90,9,0,0,1158
510594914042,113,166,150,269,71,9,28,2769
510594914051,33,243,195,240,74,38,0,2792
510594915011,266,228,119,217,32,105,0,2929
510594915012,194,338,240,225,27,70,0,3178
510594915013,15,47,53,138,92,0,0,1319
510594915021,51,322,406,186,93,0,0,3216
510594915022,0,189,140,179,44,0,0,1770
510594915023,16,95,193,131,43,28,0,1761
510594916011,10,30,114,20,29,0,0,695
510594916012,209,275,132,195,70,35,28,2937
510594916013,66,121,101,122,46,11,5,1532
510594916021,117,228,108,232,84,43,30,2924
510594916022,67,152,151,164,164,0,37,2792
510594917011,148,128,45,30,0,7,0,723
510594917012,210,299,84,84,9,28,0,1737
510594917013,193,182,56,149,43,0,0,1628
510594917021,297,261,129,36,11,0,0,1523
510594917022,265,284,172,82,0,0,0,1748
510594917023,219,275,206,94,0,0,25,2027
510594917024,23,85,54,29,12,0,0,607
510594917025,237,155,119,94,61,0,0,1676
510594917031,548,271,176,116,0,0,0,2185
510594917032,183,177,88,47,0,0,4,1072
510594917033,291,183,188,39,0,0,11,1496
510594917041,420,156,118,67,0,0,0,1421
510594917042,136,222,128,126,47,13,0,1867
510594917043,167,196,233,123,18,0,26,2107
510594917051,23,279,174,319,78,25,38,3378
510594918011,277,276,91,7,35,0,0,1352
510594918012,91,94,93,93,15,14,0,1180
510594918021,213,212,76,49,7,0,0,1125
510594918022,77,188,43,164,45,38,0,1764
510594918031,319,160,97,191,43,0,0,2017
510594918032,42,185,152,121,71,23,0,1890
510594918033,341,429,226,129,21,0,33,2897
510594920001,34,263,115,123,115,12,0,2206
510594920002,126,269,221,123,13,23,0,2111
510594920003,104,405,53,98,46,21,0,1864
510594921001,37,260,50,53,108,29,11,1823
510594921002,60,233,119,106,34,0,14,1657
510594921003,25,346,144,72,58,0,24,2002
510594921004,36,158,40,29,61,0,0,937
510594922011,52,357,88,55,58,34,13,1910
510594922012,6,128,48,85,19,10,0,962
